,Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
58,Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
59,57,P,Chris Ellis*,29,0,0,,,,,,,,,,,,,,,,,,,,,,
60,58,P,Austin Voth,30,0,0,,,,,,,,,,,,,,,,,,,,,,
61,,,Team Totals,27.1,162,6049,5429,674,1281,275,25,171,639,95,31,476,1390,.236,.305,.390,.695,97,2119,95,83,12,43,10
62,,,Rank in 15 AL teams,,,,8,10,11,5,5,8,,5,10,8,9,11,11,7,10,,9,,2,,7,
