,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
16,6078.0,5431.0,729.0,1311.0,271.0,17.0,228.0,690.0,54.0,15.0,525.0,1405.0,0.241,0.314,0.423,0.738,103.0,2300.0,122.0,70.0,7.0,42.0,17.0,73,89,.451,4.83,162,162,161,1,0,42,1419.1,1392,834,762,239,484,13,1317,62,3,48,6080,89,4.66,1.322,8.8,1.5,3.1,8.4,2.72
17,5856.0,5210.0,636.0,1243.0,228.0,18.0,176.0,604.0,54.0,26.0,495.0,1392.0,0.239,0.315,0.391,0.705,93.0,2035.0,123.0,94.0,34.0,23.0,25.0,77,85,.475,3.90,162,162,160,2,1,41,1379.1,1221,668,597,190,475,21,1453,70,1,53,5785,104,4.03,1.230,8.0,1.2,3.1,9.5,3.06
18,6060.0,5331.0,711.0,1266.0,213.0,12.0,222.0,666.0,63.0,18.0,621.0,1482.0,0.237,0.322,0.407,0.729,100.0,2169.0,154.0,63.0,10.0,34.0,14.0,92,70,.568,3.74,162,162,159,3,2,47,1435.1,1243,669,596,196,492,10,1569,56,8,85,5999,115,3.90,1.209,7.8,1.2,3.1,9.8,3.19
19,6104.0,5395.0,743.0,1284.0,271.0,19.0,199.0,698.0,88.0,20.0,545.0,1349.0,0.238,0.317,0.406,0.723,102.0,2190.0,99.0,98.0,17.0,49.0,17.0,86,76,.531,4.02,162,162,159,3,3,39,1433.0,1362,687,640,191,439,11,1332,64,2,63,6060,103,4.10,1.257,8.6,1.2,2.8,8.4,3.03
20,6089.0,5366.0,734.0,1288.0,262.0,24.0,198.0,700.0,77.0,19.0,564.0,1402.0,0.24,0.318,0.408,0.726,95.0,2192.0,103.0,67.0,47.0,43.0,37.0,82,80,.506,4.39,162,162,157,5,4,36,1418.2,1321,745,692,200,509,37,1480,75,5,49,6055,96,4.15,1.290,8.4,1.3,3.2,9.4,2.91
21,5983.0,5336.0,609.0,1261.0,240.0,35.0,124.0,570.0,60.0,30.0,529.0,1328.0,0.236,0.309,0.364,0.673,82.0,1943.0,102.0,49.0,31.0,37.0,24.0,61,101,.377,5.08,162,162,162,0,0,25,1396.1,1400,833,788,213,606,26,1312,78,5,55,6140,84,4.74,1.437,9.0,1.4,3.9,8.5,2.17
22,6119.0,5384.0,729.0,1305.0,273.0,21.0,180.0,695.0,110.0,39.0,586.0,1324.0,0.242,0.321,0.401,0.722,101.0,2160.0,121.0,61.0,36.0,46.0,42.0,79,83,.488,4.10,162,162,160,2,2,43,1430.0,1277,708,651,205,516,33,1517,87,2,57,6056,95,4.18,1.254,8.0,1.3,3.2,9.5,2.94
23,6196.0,5462.0,804.0,1360.0,271.0,25.0,241.0,768.0,66.0,14.0,602.0,1461.0,0.249,0.329,0.44,0.769,107.0,2404.0,117.0,64.0,36.0,30.0,45.0,107,55,.660,3.24,162,162,160,2,2,56,1455.0,1254,594,524,151,416,20,1425,63,7,44,6002,128,3.55,1.148,7.8,0.9,2.6,8.8,3.43
24,6010.0,5355.0,697.0,1209.0,233.0,11.0,199.0,673.0,64.0,24.0,535.0,1492.0,0.226,0.303,0.385,0.688,92.0,2061.0,92.0,72.0,9.0,36.0,8.0,90,72,.556,4.30,162,162,161,1,0,51,1440.1,1356,748,688,197,485,23,1328,69,3,58,6106,97,4.26,1.278,8.5,1.2,3.0,8.3,2.74
25,6001.0,5351.0,706.0,1303.0,261.0,22.0,198.0,678.0,89.0,22.0,478.0,1341.0,0.244,0.313,0.412,0.725,99.0,2202.0,99.0,86.0,40.0,44.0,32.0,90,72,.556,3.98,162,162,159,3,1,50,1417.0,1234,672,626,152,608,30,1225,85,4,66,6046,99,4.30,1.300,7.8,1.0,3.9,7.8,2.01
26,6213.0,5507.0,857.0,1336.0,288.0,36.0,222.0,810.0,88.0,42.0,585.0,1542.0,0.243,0.321,0.429,0.75,110.0,2362.0,75.0,72.0,6.0,41.0,27.0,100,62,.617,3.67,162,162,161,1,0,42,1455.2,1264,651,593,184,436,27,1478,55,6,64,5998,111,3.79,1.168,7.8,1.1,2.7,9.1,3.39
27,5943.0,5405.0,625.0,1254.0,225.0,24.0,167.0,598.0,106.0,29.0,433.0,1381.0,0.232,0.294,0.375,0.67,83.0,2028.0,113.0,58.0,16.0,31.0,10.0,60,102,.370,4.79,162,162,162,0,0,31,1424.1,1402,815,758,232,513,11,1239,61,0,67,6103,93,4.76,1.344,8.9,1.5,3.2,7.8,2.42
28,6070.0,5476.0,846.0,1455.0,285.0,13.0,262.0,816.0,81.0,20.0,496.0,1218.0,0.266,0.33,0.466,0.797,113.0,2552.0,112.0,51.0,10.0,35.0,14.0,91,71,.562,3.91,162,162,161,1,1,34,1405.1,1257,663,610,209,473,10,1468,75,4,54,5916,115,4.18,1.231,8.1,1.3,3.0,9.4,3.10
29,6113.0,5385.0,724.0,1388.0,272.0,20.0,182.0,686.0,56.0,26.0,573.0,1303.0,0.258,0.337,0.417,0.754,107.0,2246.0,158.0,84.0,38.0,31.0,43.0,65,97,.401,4.80,162,162,161,1,0,36,1394.1,1364,820,743,247,548,46,1346,71,1,43,6073,84,4.87,1.371,8.8,1.6,3.5,8.7,2.46
