,Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
37,Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
38,,,Team Totals,27.7,83,79,.512,3.97,162,162,160,2,1,46,1433.1,1406,688,632,171,443,8,1214,64,4,47,6058,102,4.03,1.290,8.8,1.1,2.8,7.6,2.74
39,,,Rank in 15 AL teams,,7,9,,9,,,,3,5,5,11,13,9,9,7,4,,12,,,,,,,,,,,,
